team,number,player,position,height,weight,birthdate,experience,college
NYK, 21, Iman Shumpert, SG, 6-5, 212, June 26 1990, 2, Georgia Institute of Technology
NYK, , Chris Smith, PG, 6-2, 200, October 13 1987, R, University of Louisville
NYK, 8, J.R. Smith, SF, 6-6, 220, September 9 1985, 9, 
NYK, 1, Amar'e Stoudemire, C, 6-10, 245, November 16 1982, 11, 
NYK, 4, Jeremy Tyler, C, 6-10, 260, June 21 1991, 2, 
NYK, 18, Beno Udrih, SG, 6-3, 205, July 5 1982, 9, 
NYK, 51, Metta World Peace, SF, 6-6, 244, November 13 1979, 14, St. John's University
OKC, 12, Steven Adams, C, 7-0, 250, July 28 1993, R, University of Pittsburgh
OKC, 4, Nick Collison, PF, 6-9, 255, October 26 1980, 9, University of Kansas
OKC, 35, Kevin Durant, SF, 6-9, 215, September 29 1988, 6, University of Texas at Austin
OKC, 6, Derek Fisher, SG, 6-1, 200, August 9 1974, 17, University of Arkansas at Little Rock
OKC, 8, Ryan Gomes, SF, 6-7, 250, September 1 1982, 7, Providence College
OKC, 9, Serge Ibaka, PF, 6-10, 220, September 18 1989, 4, 
OKC, 7, Royal Ivey, SG, 6-3, 200, December 20 1981, 9, University of Texas at Austin
OKC, 15, Reggie Jackson, PG, 6-3, 208, April 16 1990, 2, Boston College
OKC, 3, Perry Jones, PF, 6-11, 235, September 24 1991, 1, Baylor University
OKC, 11, Jeremy Lamb, SG, 6-5, 180, May 30 1992, 1, University of Connecticut
OKC, 5, Kendrick Perkins, C, 6-10, 280, November 10 1984, 10, 
OKC, 21, Andre Roberson, PF, 6-7, 210, December 4 1991, R, University of Colorado
OKC, 25, Thabo Sefolosha, SG, 6-5, 215, May 2 1984, 7, 
OKC, 34, Hasheem Thabeet, C, 7-3, 263, February 16 1987, 4, University of Connecticut
OKC, 0, Russell Westbrook, PG, 6-3, 187, November 12 1988, 5, University of California Los Angeles
ORL, 4, Arron Afflalo, SG, 6-5, 215, October 15 1985, 6, University of California Los Angeles
ORL, 11, Glen Davis, PF, 6-9, 289, January 1 1986, 6, Louisiana State University
ORL, 21, Maurice Harkless, SF, 6-8, 208, May 11 1993, 1, St. John's University
ORL, 12, Tobias Harris, PF, 6-8, 226, July 15 1992, 2, University of Tennessee
ORL, 22, Solomon Jones, PF, 6-10, 230, July 16 1984, 7, University of South Florida
ORL, 1, Doron Lamb, SG, 6-4, 210, November 6 1991, 1, University of Kentucky
ORL, 54, Jason Maxiell, PF, 6-7, 260, February 18 1983, 8, University of Cincinnati
ORL, 55, E'Twaun Moore, SG, 6-4, 191, February 28 1989, 2, Purdue University
ORL, 14, Jameer Nelson, PG, 6-0, 190, February 9 1982, 9, Saint Joseph's University
ORL, 44, Andrew Nicholson, PF, 6-9, 250, December 8 1989, 1, St. Bonaventure University
ORL, 2, Kyle O'Quinn, C, 6-10, 240, March 26 1990, 1, Norfolk State University
ORL, 5, Victor Oladipo, PG, 6-5, 214, May 4 1992, R, Indiana University
ORL, 10, Ronnie Price, SG, 6-2, 190, June 21 1983, 8, Utah Valley State College
ORL, 9, Nikola Vucevic, C, 6-10, 240, October 24 1990, 2, University of Southern California
PHI, 50, Lavoy Allen, PF, 6-9, 225, February 4 1989, 2, Temple University
PHI, 9, James Anderson, SG, 6-6, 215, March 25 1989, 3, Oklahoma State University
PHI, 7, Lorenzo Brown, SG, 6-5, 189, August 26 1990, R, North Carolina State University
PHI, 1, Michael Carter-Williams, PG, 6-6, 185, October 12 1991, R, Syracuse University
PHI, 20, Brandon Davies, PF, 6-10, 240, July 25 1991, R, Brigham Young University
PHI, 30, Dewayne Dedmon, C, 7-0, 255, August 12 1989, R, University of Southern California
PHI, 00, Spencer Hawes, C, 7-0, 245, April 28 1988, 6, University of Washington
PHI, 11, Eric Maynor, G, 6-3, 175, June 11 1987, 4, Virginia Commonwealth University
PHI, 7, Darius Morris, PG, 6-4, 190, January 3 1991, 2, University of Michigan
PHI, 5, Arnett Moultrie, PF, 6-11, 249, November 18 1990, 1, Mississippi State University
PHI, 30, Byron Mullens, C, 7-0, 275, February 14 1989, 4, Ohio State University
PHI, 33, Daniel Orton, C, 6-10, 255, August 6 1990, 2, University of Kentucky
PHI, 35, Henry Sims, C, 6-10, 245, March 27 1990, 1, Georgetown University
PHI, 31, Hollis Thompson, SF, 6-8, 206, April 3 1991, R, Georgetown University
PHI, 12, Evan Turner, SF, 6-7, 205, October 27 1988, 3, Ohio State University
PHI, 25, Elliot Williams, SG, 6-5, 180, June 20 1989, 1, University of Memphis
PHI, 8, Tony Wroten, SG, 6-5, 205, April 13 1993, 1, University of Washington
PHI, 21, Thaddeus Young, PF, 6-8, 220, June 21 1988, 6, Georgia Institute of Technology
PHO, 10, Leandro Barbosa, PG, 6-3, 176, November 28 1982, 10, 
PHO, 2, Eric Bledsoe, PG, 6-1, 190, December 9 1989, 3, University of Kentucky
PHO, 25, Dionte Christmas, SF, 6-5, 205, September 15 1986, R, Temple University
PHO, 1, Goran Dragic, SG, 6-4, 180, May 6 1986, 5, 
PHO, 8, Channing Frye, PF, 6-11, 248, May 17 1983, 7, University of Arizona
PHO, 20, Archie Goodwin, SG, 6-5, 198, August 17 1994, R, University of Kentucky
PHO, 14, Gerald Green, SG, 6-8, 200, January 26 1986, 6, 
PHO, 55, Viacheslav Kravtsov, C, 7-0, 260, August 25 1987, 1, 
PHO, 21, Alex Len, C, 7-1, 255, June 16 1993, R, University of Maryland
PHO, 15, Marcus Morris, SF, 6-9, 235, September 2 1989, 2, University of Kansas
PHO, 11, Markieff Morris, PF, 6-10, 245, September 2 1989, 2, University of Kansas
PHO, 22, Miles Plumlee, C, 6-10, 245, September 1 1988, 1, Duke University
PHO, 3, Ish Smith, PG, 6-0, 175, July 5 1988, 3, Wake Forest University
PHO, 17, P.J. Tucker, SF, 6-5, 225, May 5 1985, 2, University of Texas at Austin
POR, 12, LaMarcus Aldridge, PF, 6-11, 240, July 19 1985, 7, University of Texas at Austin
POR, 5, Will Barton, SG, 6-6, 174, January 6 1991, 1, University of Memphis
POR, 88, Nicolas Batum, SF, 6-8, 200, December 14 1988, 5, 
POR, 18, Victor Claver, SF, 6-9, 224, August 30 1988, 1, 
POR, 23, Allen Crabbe, SG, 6-6, 210, April 4 1992, R, University of California
POR, 19, Joel Freeland, C, 6-10, 250, February 7 1987, 1, 
POR, 11, Meyers Leonard, C, 7-1, 245, February 27 1992, 1, University of Illinois at Urbana-Champaign
POR, 0, Damian Lillard, PG, 6-3, 195, July 15 1990, 1, Weber State University
POR, 42, Robin Lopez, C, 7-0, 255, April 1 1988, 5, Stanford University
POR, 2, Wesley Matthews, SG, 6-5, 220, October 14 1986, 4, Marquette University
POR, 3, C.J. McCollum, SG, 6-4, 200, September 19 1991, R, Lehigh University
POR, 41, Thomas Robinson, PF, 6-9, 240, March 17 1991, 1, University of Kansas
POR, 17, Earl Watson, PG, 6-1, 195, June 12 1979, 12, University of California Los Angeles
POR, 25, Mo Williams, PG, 6-1, 185, December 19 1982, 10, University of Alabama
POR, 1, Dorell Wright, SF, 6-7, 200, December 2 1985, 9, 
SAC, 5, Quincy Acy, SF, 6-7, 233, October 6 1990, 1, Baylor University
SAC, 15, DeMarcus Cousins, C, 6-11, 270, August 13 1990, 3, University of Kentucky
SAC, 30, Reggie Evans, F, 6-8, 245, May 18 1980, 11, University of Iowa
SAC, 7, Jimmer Fredette, SG, 6-2, 195, February 25 1989, 2, Brigham Young University
SAC, 8, Rudy Gay, SF, 6-8, 230, August 17 1986, 7, University of Connecticut
SAC, 33, Aaron Gray, C, 7-0, 270, December 7 1984, 6, University of Pittsburgh
SAC, 42, Chuck Hayes, C, 6-6, 240, June 11 1983, 8, University of Kentucky
SAC, 24, Carl Landry, PF, 6-9, 248, September 19 1983, 6, Purdue University
SAC, 33, Luc Mbah a Moute, SF, 6-8, 230, September 9 1986, 5, University of California Los Angeles
SAC, 3, Ray McCallum, PG, 6-3, 190, June 12 1991, R, University of Detroit Mercy
SAC, 16, Ben McLemore, SG, 6-5, 195, February 11 1993, R, University of Kansas
SAC, 55, Hamady N'Diaye, C, 7-0, 235, January 12 1987, 2, Rutgers University
SAC, 25, Travis Outlaw, SF, 6-9, 210, September 18 1984, 10, 
SAC, 9, Patrick Patterson, PF, 6-9, 235, March 14 1989, 3, University of Kentucky
SAC, 5, John Salmons, SF, 6-7, 210, December 12 1979, 11, University of Miami
SAC, 22, Isaiah Thomas, PG, 5-9, 185, February 7 1989, 2, University of Washington
SAC, 34, Jason Thompson, PF, 6-11, 250, July 21 1986, 5, Rider University
SAC, 23, Marcus Thornton, SG, 6-4, 205, June 5 1987, 4, Louisiana State University
SAC, 10, Greivis Vasquez, PG, 6-6, 200, January 16 1987, 3, University of Maryland
SAC, 13, Derrick Williams, SF, 6-8, 241, May 25 1991, 2, University of Arizona
SAS, 11, Jeff Ayres, PF, 6-9, 240, April 29 1987, 3, Arizona State University
SAS, 16, Aron Baynes, C, 6-10, 260, December 9 1986, 1, Washington State University
SAS, 3, Marco Belinelli, SF, 6-5, 192, March 25 1986, 6, 
SAS, 15, Matt Bonner, PF, 6-10, 240, April 5 1980, 9, University of Florida
SAS, 1, Shannon Brown, G, 6-4, 205, November 29 1985, 7, Michigan State University
SAS, 25, Nando De Colo, SF, 6-5, 200, June 23 1987, 1, 
SAS, 33, Boris Diaw, PF, 6-8, 215, April 16 1982, 10, 
SAS, 21, Tim Duncan, C, 6-11, 248, April 25 1976, 16, Wake Forest University
SAS, 20, Manu Ginobili, SG, 6-6, 210, July 28 1977, 11, 
SAS, 4, Danny Green, SG, 6-6, 210, June 22 1987, 4, University of North Carolina
SAS, 7, Othyus Jeffers, G, 6-5, 200, August 5 1985, 2, Robert Morris University (IL)
SAS, 5, Cory Joseph, SG, 6-3, 185, August 20 1991, 2, University of Texas at Austin
SAS, 2, Kawhi Leonard, SF, 6-7, 225, June 29 1991, 2, San Diego State University
SAS, 8, Patrick Mills, PG, 6-0, 185, August 11 1988, 4, Saint Mary's College of California
SAS, 9, Tony Parker, PG, 6-2, 180, May 17 1982, 12, 
SAS, 22, Tiago Splitter, C, 6-11, 232, January 1 1985, 3, 
SAS, 24, Malcolm Thomas, PF, 6-9, 225, November 8 1988, 2, San Diego State University
TOR, 4, Quincy Acy, SF, 6-7, 233, October 6 1990, 1, Baylor University
TOR, 14, D.J. Augustin, PG, 6-0, 180, November 10 1987, 5, University of Texas at Austin
TOR, 13, Dwight Buycks, PG, 6-3, 190, March 6 1989, R, Marquette University
TOR, 5, Austin Daye, SF, 6-11, 200, June 5 1988, 4, Gonzaga University
TOR, 3, Nando De Colo, G, 6-5, 200, June 23 1987, 1, 
TOR, 10, DeMar DeRozan, SG, 6-7, 220, August 7 1989, 4, University of Southern California
TOR, 2, Landry Fields, SF, 6-7, 210, June 27 1988, 3, Stanford University
TOR, 22, Rudy Gay, SF, 6-8, 230, August 17 1986, 7, University of Connecticut
TOR, 34, Aaron Gray, C, 7-0, 270, December 7 1984, 6, University of Pittsburgh
TOR, 50, Tyler Hansbrough, PF, 6-9, 250, November 3 1985, 4, University of North Carolina
TOR, 44, Chuck Hayes, C, 6-6, 240, June 11 1983, 8, University of Kentucky
TOR, 15, Amir Johnson, PF, 6-9, 210, May 1 1987, 8, 
TOR, 7, Kyle Lowry, PG, 6-0, 175, March 25 1986, 7, Villanova University
TOR, 16, Steve Novak, PF, 6-10, 220, June 13 1983, 7, Marquette University
TOR, 54, Patrick Patterson, PF, 6-9, 235, March 14 1989, 3, University of Kentucky
TOR, 31, Terrence Ross, SG, 6-6, 195, February 5 1991, 1, University of Washington
TOR, 25, John Salmons, SG, 6-7, 210, December 12 1979, 11, University of Miami
TOR, 77, Julyan Stone, SG, 6-6, 200, December 7 1988, 2, University of Texas at El Paso
TOR, 17, Jonas Valanciunas, C, 6-11, 231, May 6 1992, 1, 
TOR, 21, Greivis Vasquez, SG, 6-6, 200, January 16 1987, 3, University of Maryland
UTA, 11, Andris Biedrins, C, 6-11, 240, April 2 1986, 9, 
UTA, 3, Trey Burke, PG, 6-0, 190, November 12 1992, R, University of Michigan
UTA, 10, Alec Burks, SG, 6-6, 195, July 20 1991, 2, University of Colorado
UTA, 21, Ian Clark, SG, 6-3, 175, March 7 1991, R, Belmont University
UTA, 40, Jeremy Evans, SF, 6-9, 196, October 24 1987, 3, Western Kentucky University
UTA, 15, Derrick Favors, PF, 6-10, 246, July 15 1991, 3, Georgia Institute of Technology
UTA, 8, Diante Garrett, PG, 6-4, 190, November 3 1988, 1, Iowa State University
UTA, 27, Rudy Gobert, C, 7-1, 220, June 26 1992, R, 
UTA, 33, Mike Harris, PF, 6-6, 240, June 15 1983, 3, Rice University
UTA, 20, Gordon Hayward, SF, 6-8, 207, March 23 1990, 3, Butler University
UTA, 24, Richard Jefferson, SF, 6-7, 222, June 21 1980, 12, University of Arizona
UTA, 0, Enes Kanter, C, 6-11, 262, May 20 1992, 2, 
UTA, 5, John iii Lucas, PG, 5-11, 165, November 21 1982, 5, Oklahoma State University
UTA, 25, Brandon Rush, SG, 6-6, 210, July 7 1985, 5, University of Kansas
UTA, 22, Malcolm Thomas, F, 6-9, 225, November 8 1988, 2, San Diego State University
UTA, 6, Jamaal Tinsley, PG, 6-3, 195, February 28 1978, 10, Iowa State University
UTA, 2, Marvin Williams, PF, 6-9, 230, June 19 1986, 8, University of North Carolina
WAS, 1, Trevor Ariza, SF, 6-8, 200, June 30 1985, 9, University of California Los Angeles
WAS, 3, Bradley Beal, SG, 6-3, 207, June 28 1993, 1, University of Florida
WAS, 35, Trevor Booker, PF, 6-7, 240, November 25 1987, 3, Clemson University
WAS, 4, Marcin Gortat, C, 6-11, 240, February 17 1984, 6, 
WAS, 7, Al Harrington, PF, 6-9, 230, February 17 1980, 15, 
WAS, 42, Nene, PF, 6-11, 260, September 13 1982, 11, 
WAS, 6, Eric Maynor, PG, 6-3, 175, June 11 1987, 4, Virginia Commonwealth University
WAS, 24, Andre Miller, G, 6-2, 200, March 19 1976, 14, University of Utah
WAS, 22, Otto Porter, SF, 6-9, 198, June 3 1993, R, Georgetown University
WAS, 14, Glen Rice jr, SG, 6-6, 206, January 1 1991, R, Georgia Institute of Technology
WAS, 13, Kevin Seraphin, C, 6-9, 264, December 7 1989, 3, 
WAS, 31, Chris Singleton, SF, 6-8, 230, November 21 1989, 2, Florida State University
WAS, 17, Garrett Temple, SG, 6-6, 190, May 8 1986, 3, Louisiana State University
WAS, 24, Jan Vesely, PF, 6-11, 240, April 24 1990, 2, 
WAS, 2, John Wall, PG, 6-4, 195, September 6 1990, 3, University of Kentucky
WAS, 9, Martell Webster, SF, 6-7, 210, December 4 1986, 8, 
